member_id,signup_date,age,gender,city,country,membership_type,contract_length_months,monthly_fee,signup_channel,tenure_months,avg_weekly_visits,group_classes_attended,personal_training_sessions,distance_km_to_gym,has_mobile_app,satisfaction_score,late_payments_12m,referred_friends,exit_survey_completed,churned
NF-100805,2022-01-29,,Female,Austin,United States,Basic,1,$29.00,Mobile App,13,2.31,9,0,5.52,Yes,7.0,0,1,0,0
NF-100529,2023-04-14,45.0,M,Portland,United States,Premium,24,$79.00,Website,27,3.76,10,5,1.43,No,9.0,0,2,0,0
NF-101876,2023-08-15,24.0,Male,Denver,United States,Premium,12,$79.00,Mobile App,31,3.22,8,0,6.88,No,9.0,0,0,0,0
NF-101865,2021-07-03,32.0,Female,Columbus,United States,Plus,1,$49.00,Website,6,1.61,5,1,4.54,No,7.0,0,0,0,0
NF-101677,2023-03-23,38.0,Male,Austin,United States,Basic,6,$25.00,Mobile App,27,1.76,4,2,1.36,No,9.0,0,0,0,0
NF-102385,2021-02-21,30.0,male,Raleigh,United States,Plus,24,$49.00,Mobile App,2,2.34,7,0,0.67,No,7.0,1,0,0,0
NF-101821,2023-08-06,47.0,M,Austin,United States,Premium,12,$75.00,Website,31,3.07,9,3,3.53,Yes,7.0,1,1,0,0
NF-102694,2023-07-23,51.0,Male,Austin,United States,Plus,12,$49.00,Walk-in,31,2.05,6,0,2.29,No,8.0,0,2,0,0
NF-100841,2022-09-17,39.0,male,Austin,United States,Premium,24,$75.00,Website,21,0.68,4,0,4.5,No,,0,0,1,1
NF-101065,2023-09-27,37.0, Male,Portland,United States,Premium,12,$84.00,Website,33,1.98,5,0,12.83,Yes,6.0,0,0,0,0
NF-102072,2023-09-08,17.0,Female,Portland,United States,Basic,6,$29.00,Website,32,1.65,6,0,4.38,Yes,4.0,1,1,1,1
NF-100389,2023-06-24,38.0,Female,Raleigh,United States,Plus,12,$54.00,Website,30,0.7,2,0,,No,6.0,2,0,1,1
NF-102115,2022-08-06,46.0,Female,Portland,United States,Basic,6,$25.00,Website,19,2.41,6,8,2.54,Yes,6.0,0,0,1,1
