Date,Category,Value,Product,Sales,Region
2023-01-01,C,31.4,Product5,158.48,
2023-01-02,D,18.9,Product5,222.24,West
2023-01-03,A,31.9,Product1,243.41,North
2023-01-04,C,75.0,Product3,441.63,East
2023-01-05,C,87.0,Product2,399.15,North
2023-01-06,D,84.7,Product1,453.83,West
2023-01-07,A,45.7,Product2,372.83,South
2023-01-08,A,70.1,Product2,469.39,East
2023-01-09,C,28.4,Product3,301.92,North
2023-01-10,B,36.4,Product2,271.07,North
2023-01-11,C,90.7,Product2,543.27,East
2023-01-12,C,11.2,Product3,100.1,South
2023-01-13,C,17.7,Product2,170.88,South
2023-01-14,C,28.7,Product2,153.15,South
2023-01-15,D,12.4,Product2,66.23,West
2023-01-16,A,26.3,Product1,112.92,North
2023-01-17,D,62.5,Product1,618.2,North
2023-01-18,D,47.9,Product1,445.97,North
2023-01-19,D,90.3,Product3,704.07,West
2023-01-20,C,83.6,Product5,898.98,North
2023-01-21,B,40.8,Product2,426.17,West
2023-01-22,A,33.3,Product2,289.14,South
2023-01-23,B,44.2,Product3,483.82,East
2023-01-24,D,63.1,Product2,356.31,North
2023-01-25,D,34.1,Product1,166.93,North
2023-01-26,B,66.2,Product5,407.66,South
2023-01-27,B,46.8,Product4,208.57,East
2023-01-28,B,59.7,Product2,492.49,West
2023-01-29,,49.3,Product1,566.6,East
2023-01-30,D,36.5,Product4,157.49,South
2023-01-31,A,95.4,Product5,,South
2023-02-01,A,,Product4,599.5,East
2023-02-02,D,22.6,Product1,259.24,West
2023-02-03,B,88.2,Product4,575.88,West
2023-02-04,B,53.9,Product3,434.32,North
2023-02-05,A,90.5,Product4,392.1,West
2023-02-06,D,82.0,Product2,425.31,East
2023-02-07,A,48.3,Product2,574.43,South
2023-02-08,A,12.0,Product3,140.65,North
2023-02-09,C,34.2,Product1,6500.0,North
2023-02-10,C,58.7,Product2,681.77,South
2023-02-11,C,67.0,Product5,610.57,West
2023-02-12,B,33.2,Product2,363.32,South
2023-02-13,D,22.5,Product2,,West
2023-02-14,D,85.1,Product1,691.42,South
2023-02-15,D,98.6,Product4,780.0,East
2023-02-16,D,57.3,Product2,534.89,
2023-02-17,C,25.5,Product3,130.49,East
2023-02-18,B,34.5,Product4,146.27,North
2023-02-19,B,11.7,Product5,75.62,South
2023-02-20,C,92.3,Product1,889.54,North
2023-02-21,B,20.6,Product5,115.67,North
2023-02-22,C,61.9,Product4,581.08,North
2023-02-23,D,34.7,Product4,408.05,North
2023-02-24,C,59.9,Product4,284.6,South
2023-02-25,D,68.6,Product5,643.52,North
2023-02-26,D,84.7,Product4,639.49,South
2023-02-27,A,28.6,Product5,313.03,South
2023-02-28,C,11.0,Product4,59.59,East
2023-03-01,A,22.3,Product3,212.76,West
2023-03-02,C,91.0,Product4,974.15,West
2023-03-03,C,88.7,Product5,1025.1,South
2023-03-04,A,63.8,Product2,603.93,East
2023-03-05,A,64.0,Product4,510.55,South
2023-03-06,C,69.9,Product2,625.1,South
2023-03-07,B,25.8,Product3,282.54,South
2023-03-08,D,92.3,Product1,790.54,East
2023-03-09,A,47.7,Product3,202.4,West
2023-03-10,D,44.5,,509.42,East
2023-03-11,B,56.7,Product2,539.57,North
2023-03-12,B,14.2,Product2,133.65,East
2023-03-13,B,25.0,Product5,143.14,East
2023-03-14,A,76.4,Product2,708.31,East
2023-03-15,B,17.5,Product5,125.14,East
2023-03-16,A,64.3,Product1,592.19,West
2023-03-17,B,32.1,Product4,155.77,North
2023-03-18,D,45.0,Product5,416.82,West
2023-03-19,D,36.0,Product1,431.83,West
2023-03-20,C,42.0,Product2,184.2,East
2023-03-21,D,74.7,Product2,882.76,South
2023-03-22,C,36.7,Product1,266.27,South
2023-03-23,D,61.0,,668.93,West
2023-03-24,A,,Product1,541.68,West
2023-03-25,D,69.7,Product5,594.97,East
2023-03-26,C,94.3,Product5,934.29,West
2023-03-27,C,75.9,Product1,837.03,East
2023-03-28,B,29.3,Product5,211.93,South
2023-03-29,A,12.8,Product5,84.69,South
2023-03-30,D,33.6,Product5,313.85,North
2023-03-31,B,63.6,Product3,665.43,South
2023-04-01,D,14.6,Product4,147.43,West
2023-04-02,D,54.7,Product2,567.92,South
2023-04-03,B,63.7,Product3,476.77,East
2023-04-04,B,40.1,Product5,422.76,South
2023-04-05,B,79.4,Product1,393.96,North
2023-04-06,B,19.6,Product5,163.78,South
2023-04-07,B,16.8,Product4,67.97,East
2023-04-08,D,75.5,Product5,498.05,East
2023-04-09,B,54.6,Product1,378.47,West
2023-04-10,A,72.0,Product4,516.2,South
2023-04-11,C,49.1,Product5,469.58,East
2023-04-12,B,32.2,Product4,228.89,North
2023-04-13,B,83.7,,635.25,West
2023-04-14,D,81.9,Product2,483.24,North
2023-04-15,B,72.5,Product5,506.49,South
2023-04-16,B,34.5,Product4,200.73,South
2023-04-17,B,63.1,Product1,289.35,South
2023-04-18,D,42.5,Product5,375.17,West
2023-04-19,B,18.2,Product2,170.09,East
2023-04-20,C,92.6,Product2,829.32,West
2023-04-21,D,22.3,Product5,171.89,North
2023-04-22,C,95.5,Product4,672.16,West
2023-04-23,D,50.1,Product2,546.42,North
2023-04-24,B,,Product4,217.68,West
2023-04-25,,58.8,Product2,460.61,East
2023-04-26,D,88.6,Product2,372.58,North
2023-04-27,A,75.9,Product3,510.81,South
2023-04-28,B,82.6,Product2,581.63,South
2023-04-29,D,69.3,Product1,,West
2023-04-30,A,72.3,Product5,624.77,South
2023-05-01,D,350.0,Product5,714.43,North
2023-05-02,A,32.5,Product4,288.06,South
2023-05-03,B,54.0,Product2,546.43,East
2023-05-04,C,29.9,Product1,314.07,East
2023-05-05,A,98.9,Product4,963.78,West
2023-05-06,D,95.0,Product3,1106.2,North
2023-05-07,B,13.5,Product4,55.97,East
